tipo,codigo,nome,populacao,obitos,obitos/habitante
1,1706258,Crixás do Tocantins (TO),1722,0,0.0
1,1712157,Lavandeira (TO),1923,0,0.0
1,1712702,Mateiros (TO),2684,0,0.0
1,1720853,Sucupira (TO),1966,0,0.0
1,1720937,Taipas do Tocantins (TO),2148,0,0.0
1,2109759,Santa Filomena do Maranhão (MA),7773,0,0.0
1,2206050,Massapê do Piauí (PI),6441,0,0.0
1,2210375,São Luis do Piauí (PI),2644,0,0.0
1,2401651,Bodó (RN),2223,0,0.0
1,2404101,Galinhos (RN),2786,0,0.0
1,2409605,Pedra Preta (RN),2458,0,0.0
1,2411429,Santana do Seridó (RN),2680,0,0.0
1,2500577,Algodão de Jandaíra (PB),2567,0,0.0
1,2502052,Bernardino Batista (PB),3501,0,0.0
1,2512754,Riachão do Bacamarte (PB),4521,0,0.0
1,3104452,Aricanduva (MG),5231,0,0.0
1,3106606,Bertópolis (MG),4604,0,0.0
1,3108255,Bonito de Minas (MG),11230,0,0.0
1,3111150,Campo Azul (MG),3817,0,0.0
1,3113800,Carmésia (MG),2632,0,0.0
1,3115607,Cedro do Abaeté (MG),1164,0,0.0
1,3121506,Desterro do Melo (MG),2901,0,0.0
1,3121704,Diogo de Vasconcelos (MG),3802,0,0.0
1,3124708,Estrela do Indaiá (MG),3500,0,0.0
1,3125200,Fama (MG),2377,0,0.0
1,3136520,José Gonçalves de Minas (MG),4501,0,0.0
1,3147956,Patis (MG),5972,0,0.0
1,3148806,Pedra do Anta (MG),3052,0,0.0
1,3149408,Pedro Teixeira (MG),1807,0,0.0
1,3159100,Santana dos Montes (MG),3777,0,0.0
1,3160603,Santo Hipólito (MG),3087,0,0.0
1,3166501,Serra Azul de Minas (MG),4293,0,0.0
1,3166600,Serra da Saudade (MG),781,0,0.0
1,3167004,Serranos (MG),1963,0,0.0
1,3506201,Bento de Abreu (SP),2980,0,0.0
1,3515657,Fernão (SP),1716,0,0.0
1,3544707,Sagres (SP),2432,0,0.0
1,3549300,São João do Pau d'Alho (SP),2105,0,0.0
1,4103024,Boa Esperança do Iguaçu (PR),2503,0,0.0
1,4205357,Flor do Sertão (SC),1582,0,0.0
1,4211652,Novo Horizonte (SC),2442,0,0.0
1,4300661,André da Rocha (RS),1333,0,0.0
1,4302055,Benjamin Constant do Sul (RS),1994,0,0.0
1,4309258,Guabiju (RS),1503,0,0.0
1,4313441,Novo Tiradentes (RS),2211,0,0.0
1,4314175,Pedras Altas (RS),1982,0,0.0
1,5101209,Araguainha (MT),935,0,0.0
1,5209408,Guarani de Goiás (GO),3893,0,0.0
1,5214903,Nova Roma (GO),3264,0,0.0
1,5220702,Sítio d'Abadia (GO),2989,0,0.0
1,5221080,Teresina de Goiás (GO),3458,0,0.0
1,2109205,Presidente Juscelino (MA),12734,1,78.5
1,3170008,Ubaí (MG),12533,1,79.8
1,3106507,Berilo (MG),11932,1,83.8
1,1502509,Chaves (PA),23717,2,84.3
1,2110856,São Francisco do Brejão (MA),11798,1,84.8
1,2111748,Senador Alexandre Costa (MA),11141,1,89.8
1,2104081,Fernando Falcão (MA),10360,1,96.5
1,3164506,São Sebastião do Maranhão (MG),10044,1,99.6
1,2101509,Barão de Grajaú (MA),18820,2,106.3
1,2912004,Ibiassucê (BA),9224,1,108.4
1,3102852,Angelândia (MG),8520,1,117.4
1,2106672,Milagres do Maranhão (MA),8464,1,118.1
1,3135357,Japonvar (MG),7969,1,125.5
1,2511103,Pedra Lavrada (PB),7843,1,127.5
1,2104628,Governador Luiz Rocha (MA),7807,1,128.1
1,2109403,Primeira Cruz (MA),15315,2,130.6
